ASV_ID,Genus,Species,num_of_plots_edna,in_eDNA,num_of_plots_flor,in_floristic,Name_good,old_genus,old_species,perc_ident,assignable_by_unite,Sequence_read_count
ASV_12059,Absconditella,pauxilla,1,yes,0,no,yes,,,97.628,no,13
ASV_16502,Absconditella,pauxilla,1,yes,0,no,yes,,,98.814,no,5
ASV_14554,Absconditella,sp.1,1,yes,0,no,no,,,98.106,no,11
ASV_17626,Anisomeridium,polypori,1,yes,0,no,yes,,,99.559,no,3
ASV_9408,Arthonia,didyma,1,yes,14,yes,yes,,,99.315,no,25
ASV_13838,Arthonia,mediella,1,yes,0,no,yes,,,98.889,no,9
ASV_15581,Athallia,cerinella,1,yes,0,no,no,Caloplaca,cerinella,99.597,no,6
ASV_18078,Athallia,cerinella,1,yes,0,no,no,Caloplaca,cerinella,100,no,2
ASV_2168,Bacidia,rubella,1,yes,0,no,yes,,,100,no,538
ASV_4406,Bryostigma,lapidicola,1,yes,0,no,no,Bryostigma,muscigenum,98.969,no,145
ASV_10295,Calicium,glaucellum,1,yes,0,no,yes,,,99.59,no,20
ASV_16910,Caloplaca,obscurella,1,yes,1,yes,yes,,,99.612,no,4
ASV_16946,Caloplaca,obscurella,1,yes,1,yes,yes,,,100,no,4
ASV_15401,Caloplaca,turkuensis,1,yes,0,no,yes,,,100,no,6
ASV_16786,Caloplaca ,ulcerosa,1,yes,0,no,no,NA,NA,NA,yes,4
ASV_17929,Candelariella,sp.,1,yes,0,no,no,,,99.17,no,2
ASV_15339,Candelariella,xanthostigma,1,yes,16,yes,yes,,,99.59,no,6
ASV_16297,Catillaria,nigroclavata,1,yes,0,no,yes,,,NA,yes,5
ASV_15526,Chaenotheca,chrysocephala,1,yes,6,yes,yes,,,99.588,no,6
ASV_12182,Chaenotheca,chrysocephala,1,yes,6,yes,yes,,,NA,yes,12
ASV_11703,Chaenotheca,ferruginea,1,yes,10,yes,yes,,,98.765,no,14
ASV_15305,Chaenotheca,ferruginea,1,yes,10,yes,yes,,,99.177,no,6
ASV_4082,Chaenotheca,ferruginea,1,yes,10,yes,yes,,,98.765,no,192
ASV_4438,Chaenotheca,ferruginea,1,yes,10,yes,yes,,,99.177,no,181
ASV_4435,Chaenotheca,xyloxena,1,yes,0,no,yes,,,100,no,4
ASV_4980,Chromatochlamys,vezdae,1,yes,0,no,no,Thelenella,vezdae,100,no,207
ASV_7990,Cladonia,floerkeana,1,yes,0,no,yes,,,99.614,no,37
ASV_2230,Cladonia,NA,1,yes,0,no,no,,,NA,yes,518
ASV_6658,Evernia,prunastri,1,yes,7,yes,yes,,,100,no,15
ASV_9873,Fuscidea,pusilla,1,yes,0,no,yes,,,99.595,no,22
ASV_10238,Graphis,scripta,1,yes,47,yes,yes,,,99.63,no,27
ASV_9639,Graphis,scripta,1,yes,47,yes,yes,,,99.63,no,23
ASV_11779,Graphis,scripta,1,yes,47,yes,yes,,,NA,yes,14
ASV_9683,Gyrographa,gyrocarpa,1,yes,0,no,yes,,,NA,yes,23
ASV_11097,Gyrographa,NA,1,yes,0,no,no,,,NA,yes,16
ASV_8073,Gyrographa,NA,1,yes,0,no,no,,,NA,yes,36
ASV_17621,Karstenia,rhopaloides,1,yes,0,no,yes,,,98.864,no,3
ASV_5101,Lecanora,intumescens,1,yes,10,yes,yes,,,99.593,no,106
ASV_10854,Lecanora,NA,1,yes,0,no,no,,,NA,yes,11
ASV_5861,Lecidella,flavosorediata,1,yes,0,no,yes,,,99.59,no,79
ASV_7523,Lepraria,rigidula,1,yes,1,yes,yes,,,99.592,no,43
ASV_3490,Lepraria,vouauxii,1,yes,0,no,yes,,,NA,yes,227
ASV_6033,Melanomma,pulvis-pyrius,1,yes,0,no,yes,,,NA,yes,36
ASV_16583,Micarea,fallax,1,yes,0,no,yes,,,NA,yes,4
ASV_11637,Micarea,melanobola,1,yes,0,no,yes,,,NA,yes,14
ASV_12421,Micarea,misella,1,yes,0,no,yes,,,99.156,no,19
ASV_15273,Micarea,misella,1,yes,0,no,yes,,,99.156,no,6
ASV_14152,Micarea,NA,1,yes,0,no,no,,,NA,yes,8
ASV_8748,Micarea,NA,1,yes,0,no,no,,,NA,yes,30
ASV_11526,Micarea,pusilla,1,yes,0,no,yes,,,98.312,no,14
ASV_17681,Micarea,soralifera,1,yes,0,no,yes,,,98.291,no,3
ASV_6408,Micarea,soralifera,1,yes,0,no,yes,,,100,no,64
ASV_13524,Micarea ,denigrata,1,yes,0,no,no,NA,NA,NA,yes,9
ASV_186,Myxotrichum,cancellatum,1,yes,0,no,yes,,,NA,yes,19
ASV_4427,Myxotrichum,stipitatum,1,yes,0,no,yes,,,NA,yes,4
ASV_13407,NA,NA,1,yes,0,no,no,,,NA,yes,10
ASV_17200,NA,NA,1,yes,0,no,no,,,NA,yes,4
ASV_9028,NA,NA,1,yes,0,no,no,,,NA,yes,36
ASV_15632,Ochrolechia,microstictoides,1,yes,0,no,yes,,,99.59,no,6
ASV_17360,Opeltiella,rubrisoli,1,yes,0,no,no,Candelariella,rubrisoli,99.592,no,3
ASV_11320,Pertusaria,pertusa,1,yes,7,yes,yes,,,NA,yes,15
ASV_16367,Phaeophyscia,endophoenicea,1,yes,0,no,yes,,,99.531,no,5
ASV_14878,Physcia,tenella,1,yes,10,yes,yes,,,99.598,no,7
ASV_10904,Polycauliona,candelaria,1,yes,0,no,yes,,,NA,yes,17
ASV_4959,Pseudoschismatomma,rufescens,1,yes,0,no,yes,,,99.645,no,114
ASV_3934,Psoroglaena,sp.,1,yes,0,no,no,,,99.588,no,183
ASV_6121,Psoroglaena,sp.,1,yes,0,no,no,,,99.588,no,65
ASV_4621,Scoliciosporum,chlorococcum,1,yes,11,yes,yes,,,100,no,119
ASV_16061,Violella,fucata,1,yes,0,no,yes,,,99.62,no,5
ASV_7976,Zythia,resinae,1,yes,1,yes,no,Sarea,resinae,NA,yes,27
ASV_10497,Anisomeridium,polypori,2,yes,0,no,yes,,,99.559,no,19
ASV_11811,Anisomeridium,polypori,2,yes,0,no,yes,,,100,no,14
ASV_5604,Athelia,arachnoidea,2,yes,0,no,yes,,,NA,yes,87
ASV_7028,Athelia,arachnoidea,2,yes,0,no,yes,,,NA,yes,51
ASV_2918,Bacidia,schadeana,2,yes,0,no,no,Scoliciosporum,schadeanum,98.016,no,314
ASV_4074,Bacidia,schadeana,2,yes,0,no,no,Scoliciosporum,schadeanum,100,no,171
ASV_5044,Bacidina,chloroticula,2,yes,0,no,yes,,,99.209,no,109
ASV_3513,Bacidina,neosquamulosa,2,yes,0,no,yes,,,100,no,223
ASV_3655,Calicium,episcalare,2,yes,0,no,no,Calicium,episcalaris,99.592,no,209
ASV_12205,Candelariella,efflorescens,2,yes,0,no,yes,,,99.592,no,12
