ASV_ID,taxonomy,Taxon,Taxon Level,Trophic Mode,Guild,Growth Morphology,Trait,Confidence Ranking,Notes,Citation/Source,,,,,,,,,,,
ASV_10,Fungi;Mortierellomycota;Mortierellomycetes;Mortierellales;Mortierellaceae;Mortierella;NA,Mortierella,13,Saprotroph-Symbiotroph,Endophyte-Litter Saprotroph-Soil Saprotroph-Undefined Saprotroph,Microfungus,NULL,Probable,Saprobic in soil and thus frequenctly isolated from soil and material contaminated with soil such as hay or rotten silage and spoil tips (Cannon & Kirk 2007),Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)); Purahong W, et al. 2016. Molecular Ecology 25:4059-4074 ((https://doi.org/10.1111/mec.13739)),,,,,,,
ASV_100,Fungi;Basidiomycota;Agaricomycetes;Russulales;Russulaceae;Lactarius;subdulcis,Lactarius,13,Symbiotroph,Ectomycorrhizal,Agaricoid,NULL,Highly Probable,Common name - milk-cap,Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45 ((http://www.fungaldiversity.org/fdp/sfdp/33-1.pdf)); Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 ((https://doi.org/10.1007/s00572-009-0274-x)); http://mycorrhizas.info/ecmf.html ((http://mycorrhizas.info/ecmf.html)),,,,,,,,,
ASV_1000,Fungi;Basidiomycota;Agaricomycetes;Cantharellales;Hydnaceae;Clavulina;amethystina,Clavulina,13,Symbiotroph,Ectomycorrhizal,Clavarioid,NULL,Highly Probable,NULL,Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)),,,,,,,,,,
ASV_10001,Fungi;Basidiomycota;Agaricomycetes;Cantharellales;Hydnaceae;Hydnum;rufescens,Hydnum,13,Symbiotroph,Ectomycorrhizal,Hydnoid,NULL,Highly Probable,NULL,Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45 ((http://www.fungaldiversity.org/fdp/sfdp/33-1.pdf)); Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 ((https://doi.org/10.1007/s00572-009-0274-x)); http://mycorrhizas.info/ecmf.html ((http://mycorrhizas.info/ecmf.html)),,,,,,,,,
ASV_10005,Fungi;Glomeromycota;Glomeromycetes;Glomerales;Glomeraceae;NA;NA,Glomeraceae,9,Symbiotroph,Arbuscular Mycorrhizal,Microfungus,NULL,Highly Probable,NULL,Redecker D, et al. 2013. Mycorrhiza 23:515-531 ((https://doi.org/10.1007/s00572-013-0486-y)),,,,,,,,,,
ASV_10012,Fungi;Ascomycota;Dothideomycetes;Mytilinidiales;Mytilinidiaceae;Lophium;arboricola,Lophium,13,Saprotroph,Undefined Saprotroph,NULL,NULL,Probable,NULL,Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)),,,,,,,,,,
ASV_10014,Fungi;Ascomycota;Dothideomycetes;Myriangiales;Elsinoaceae;Elsinoe;NA,Elsinoe,13,Pathotroph,Plant Pathogen,Microfungus,NULL,Probable,NULL,Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)),,,,,,,,,,
ASV_10015,Fungi;Ascomycota;Pezizomycetes;Pezizales;Pyronemataceae;Scutellinia;NA,Scutellinia,13,Saprotroph,Undefined Saprotroph,Pezizoid,NULL,Probable,Common name - eye lash cup,Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)),,,,,,,,,,
ASV_10017,Fungi;Basidiomycota;Agaricomycetes;Agaricales;Inocybaceae;Inocybe;quietiodor,Inocybe,13,Symbiotroph,Ectomycorrhizal,Agaricoid,NULL,Highly Probable,Sensu stricto (Matheny 2009).,Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45 ((http://www.fungaldiversity.org/fdp/sfdp/33-1.pdf)); Matheny PB. 2009. McIlvainea 18:11-21 ((https://namyco.org/docs/3_Matheny.pdf)); Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 ((https://doi.org/10.1007/s00572-009-0274-x)); http://mycorrhizas.info/ecmf.html ((http://mycorrhizas.info/ecmf.html)),,,,,,,,,
ASV_10018,Fungi;Glomeromycota;Glomeromycetes;Glomerales;Glomeraceae;Rhizoglomus;NA,Glomeraceae,9,Symbiotroph,Arbuscular Mycorrhizal,Microfungus,NULL,Highly Probable,NULL,Redecker D, et al. 2013. Mycorrhiza 23:515-531 ((https://doi.org/10.1007/s00572-013-0486-y)),,,,,,,,,,
ASV_10019,Fungi;Basidiomycota;Agaricomycetes;Agaricales;Pluteaceae;Pluteus;podospileus,Pluteus,13,Pathotroph-Saprotroph,Bryophyte Parasite-Litter Saprotroph-Wood Saprotroph,Agaricoid,White Rot,Probable,NULL,Grgurinovic CA, Simpson JA. 2001. Fungal Diversity 8:97-127 ((http://www.fungaldiversity.org/fdp/sfdp/FD_8_97-127.pdf)); James TY, et al. 2006. Nature 443:818-822 ((https://doi.org/10.1038/nature05110)); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)),,,,,,,,
ASV_1002,Fungi;Ascomycota;Dothideomycetes;Mytilinidales;Gloniaceae;Cenococcum;NA,Cenococcum,13,Symbiotroph,Ectomycorrhizal,NULL,NULL,Highly Probable,NULL,Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)),,,,,,,,,,
ASV_10023,Fungi;Ascomycota;Pezizomycetes;Pezizales;Tuberaceae;Tuber;maculatum,Tuberaceae,9,Symbiotroph,Ectomycorrhizal,Gasteroid,Hypogeous,Probable,Common name - true truffle; Mycorrhizal with broadleaved trees, growing in the surface layer of soil and closely associated with roots. Highly specific pheromone-like chemicals are produced that play a role in dispersal by attracting mammals that uproot fruit bodies and ditribute spores (Cannon & Kirk 2007),Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275),,,,,,,,
ASV_10026,Fungi;Ascomycota;Pezizomycotina_cls_Incertae_sedis;Pezizomycotina_ord_Incertae_sedis;Pezizomycotina_fam_Incertae_sedis;Triscelophorus;NA,Triscelophorus,13,Symbiotroph,Endophyte,NULL,NULL,Highly Probable,Host - Rubiaceae, Marattiaceae, Rhizophoraceae, Thelypteridaceae,Costa IPMW, et al. 2012. Mycotaxon 119:e26 ((http://mycotaxon.com/resources/checklists/costa_v119_checklist.pdf)),,,,,,,
ASV_1003,Fungi;Basidiomycota;Agaricomycetes;Auriculariales;Auriculariales_fam_Incertae_sedis;Renatobasidium;NA,Renatobasidium,13,Saprotroph,Undefined Saprotroph,NULL,NULL,Probable,NULL,Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)),,,,,,,,,,
ASV_1005,Fungi;Ascomycota;Dothideomycetes;Mytilinidiales;Mytilinidiaceae;Lophium;arboricola,Lophium,13,Saprotroph,Undefined Saprotroph,NULL,NULL,Probable,NULL,Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)),,,,,,,,,,
ASV_1006,Fungi;Ascomycota;Leotiomycetes;Helotiales;Helotiales_fam_Incertae_sedis;Leohumicola;minima,Leohumicola,13,Saprotroph,Undefined Saprotroph,NULL,NULL,Probable,NULL,Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)),,,,,,,,,,
ASV_10064,Fungi;Glomeromycota;Glomeromycetes;Glomerales;Glomeraceae;NA;NA,Glomeraceae,9,Symbiotroph,Arbuscular Mycorrhizal,Microfungus,NULL,Highly Probable,NULL,Redecker D, et al. 2013. Mycorrhiza 23:515-531 ((https://doi.org/10.1007/s00572-013-0486-y)),,,,,,,,,,
ASV_10065,Fungi;Mortierellomycota;Mortierellomycetes;Mortierellales;Mortierellaceae;Mortierella;elongatula,Mortierella,13,Saprotroph-Symbiotroph,Endophyte-Litter Saprotroph-Soil Saprotroph-Undefined Saprotroph,Microfungus,NULL,Probable,Saprobic in soil and thus frequenctly isolated from soil and material contaminated with soil such as hay or rotten silage and spoil tips (Cannon & Kirk 2007),Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)); Purahong W, et al. 2016. Molecular Ecology 25:4059-4074 ((https://doi.org/10.1111/mec.13739)),,,,,,,
ASV_10068,Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Debaryomyces;prosopidis,Debaryomyces,13,Saprotroph,Undefined Saprotroph,Yeast,NULL,Highly Probable,NULL,Kurtzman CP, et al. (eds.) 2011. The Yeasts, a Taxonomic Study. Fifth Edition. Vols 1-3. Elsevier, San Diego (ISBN: 9780444521491),,,,,,,,
ASV_10069,Fungi;Ascomycota;Leotiomycetes;Helotiales;Mollisiaceae;Mollisia;novobrunsvicensis,Mollisia,13,Pathotroph-Symbiotroph,Endophyte-Plant Pathogen,Microfungus,NULL,Probable,Dark Septate Endophyte, known from plant roots.,James TY, et al. 2006. Nature 443:818-822 ((https://doi.org/10.1038/nature05110)); Tedersoo L, et al. 2014. Science 346:1256688 ((https://doi.org/10.1126/science.1256688)) (as Plant Pathogen); Taylor DL, et al. 2014. Ecological Monographs 84:3-20 ((https://esajournals.onlinelibrary.wiley.com/doi/10.1890/12-1693.1)) (as DSE),,,,,,,
ASV_1007,Fungi;Basidiomycota;Agaricomycetes;Russulales;Russulaceae;Russula;NA,Russula,13,Symbiotroph,Ectomycorrhizal,Agaricoid,NULL,Highly Probable,NULL,Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45 ((http://www.fungaldiversity.org/fdp/sfdp/33-1.pdf)); Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 ((https://doi.org/10.1007/s00572-009-0274-x)); http://mycorrhizas.info/ecmf.html ((http://mycorrhizas.info/ecmf.html)),,,,,,,,,
ASV_10071,Fungi;Basidiomycota;Agaricomycetes;Agaricales;Agaricaceae;Lepiota;boudieri,Lepiota,13,Saprotroph,Soil Saprotroph,Agaricoid,NULL,Probable,NULL,Grgurinovic CA, Simpson JA. 2001. Fungal Diversity 8:97-127 ((http://www.fungaldiversity.org/fdp/sfdp/FD_8_97-127.pdf)); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)),,,,,,,,,
ASV_10074,Fungi;Basidiomycota;Agaricomycetes;Agaricales;Strophariaceae;Galerina;camerina,Galerina,13,Pathotroph-Saprotroph,Bryophyte Parasite-Leaf Saprotroph-Soil Saprotroph-Undefined Saprotroph-Wood Saprotroph,Agaricoid,White Rot,Probable,NULL,Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)),,,,,,,,,,
ASV_10075,Fungi;Entorrhizomycota;Entorrhizomycetes;Entorrhizales;Entorrhizaceae;Entorrhiza;NA,Entorrhiza,13,Pathotroph,Plant Pathogen,NULL,NULL,Probable,NULL,Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)),,,,,,,,,,
ASV_10076,Fungi;Basidiomycota;Agaricomycetes;Boletales;Sclerodermataceae;Scleroderma;verrucosum,Scleroderma,13,Symbiotroph,Ectomycorrhizal,Gasteroid,NULL,Highly Probable,Common name - puffball,Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45 ((http://www.fungaldiversity.org/fdp/sfdp/33-1.pdf)); Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 ((https://doi.org/10.1007/s00572-009-0274-x)); http://mycorrhizas.info/ecmf.html ((http://mycorrhizas.info/ecmf.html)),,,,,,,,,
ASV_10077,Fungi;Basidiomycota;Agaricomycetes;Hymenochaetales;Schizoporaceae;Xylodon;chinensis,Xylodon,13,Saprotroph,Undefined Saprotroph,Corticioid,White Rot,Probable,NULL,Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)),,,,,,,,,,
ASV_10080,Fungi;Mucoromycota;Mucoromycetes;Mucorales;Cunninghamellaceae;Absidia;glauca,Absidia,13,Saprotroph,Undefined Saprotroph,NULL,NULL,Probable,NULL,Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)),,,,,,,,,,
