ASV_ID	taxonomy
ASV_1	Fungi;Ascomycota;Dothideomycetes;NA;NA;NA;NA
ASV_10	Fungi;Mortierellomycota;Mortierellomycetes;Mortierellales;Mortierellaceae;Mortierella;NA
ASV_100	Fungi;Basidiomycota;Agaricomycetes;Russulales;Russulaceae;Lactarius;subdulcis
ASV_1000	Fungi;Basidiomycota;Agaricomycetes;Cantharellales;Hydnaceae;Clavulina;amethystina
ASV_10001	Fungi;Basidiomycota;Agaricomycetes;Cantharellales;Hydnaceae;Hydnum;rufescens
ASV_10002	Fungi;Basidiomycota;Tremellomycetes;Tremellales;NA;NA;NA
ASV_10004	Fungi;Rozellomycota;NA;NA;NA;NA;NA
ASV_10005	Fungi;Glomeromycota;Glomeromycetes;Glomerales;Glomeraceae;NA;NA
ASV_10008	Fungi;Rozellomycota;Rozellomycotina_cls_Incertae_sedis;GS11;NA;NA;NA
ASV_10009	Fungi;Basidiomycota;Agaricomycetes;NA;NA;NA;NA
ASV_1001	Fungi;Basidiomycota;Agaricomycetes;Atheliales;Tylosporaceae;NA;NA
ASV_10012	Fungi;Ascomycota;Dothideomycetes;Mytilinidiales;Mytilinidiaceae;Lophium;arboricola
ASV_10014	Fungi;Ascomycota;Dothideomycetes;Myriangiales;Elsinoaceae;Elsinoe;NA
ASV_10015	Fungi;Ascomycota;Pezizomycetes;Pezizales;Pyronemataceae;Scutellinia;NA
ASV_10017	Fungi;Basidiomycota;Agaricomycetes;Agaricales;Inocybaceae;Inocybe;quietiodor
ASV_10018	Fungi;Glomeromycota;Glomeromycetes;Glomerales;Glomeraceae;Rhizoglomus;NA
ASV_10019	Fungi;Basidiomycota;Agaricomycetes;Agaricales;Pluteaceae;Pluteus;podospileus
ASV_1002	Fungi;Ascomycota;Dothideomycetes;Mytilinidales;Gloniaceae;Cenococcum;NA
ASV_10022	Fungi;Chytridiomycota;GS14;NA;NA;NA;NA
ASV_10023	Fungi;Ascomycota;Pezizomycetes;Pezizales;Tuberaceae;Tuber;maculatum
ASV_10025	Fungi;Ascomycota;Sordariomycetes;NA;NA;NA;NA
ASV_10026	Fungi;Ascomycota;Pezizomycotina_cls_Incertae_sedis;Pezizomycotina_ord_Incertae_sedis;Pezizomycotina_fam_Incertae_sedis;Triscelophorus;NA
ASV_10028	Fungi;Chytridiomycota;Rhizophydiomycetes;Rhizophydiales;NA;NA;NA
ASV_10029	Fungi;Basidiomycota;Agaricostilbomycetes;Agaricostilbales;NA;NA;NA
ASV_1003	Fungi;Basidiomycota;Agaricomycetes;Auriculariales;Auriculariales_fam_Incertae_sedis;Renatobasidium;NA
ASV_10030	Fungi;NA;NA;NA;NA;NA;NA
ASV_10031	Fungi;Rozellomycota;NA;NA;NA;NA;NA
ASV_10035	Fungi;Rozellomycota;NA;NA;NA;NA;NA
ASV_10038	Fungi;Basidiomycota;Tremellomycetes;Tremellales;Bulleribasidiaceae;Dioszegia;hungarica
